City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,nova aurora,-22.8667,-52.5667,20.81,88,100,3.15,BR,1683429095
113,isafjordur,66.0755,-23.124,4.54,94,100,2.82,IS,1683429095
114,thompson,55.7435,-97.8558,8.72,90,10,3.39,CA,1683428881
115,tiksi,71.6872,128.8694,-12.4,78,93,2.82,RU,1683429096
116,hami,42.8,93.45,14.04,29,63,4.54,CN,1683429096
117,atar,20.5169,-13.0499,26.28,16,0,4.22,MR,1683428899
118,bama,11.5221,13.6856,28.9,13,56,2.9,NG,1683429097
119,vadso,70.0744,29.7487,4.09,60,83,3.09,NO,1683429097
120,revda,56.801,59.9303,10.73,76,48,3.12,RU,1683429097
121,sandnessjoen,66.0217,12.6316,4.8,63,100,0.45,NO,1683429097
122,kharabali,47.4196,47.2568,15.64,70,100,3.52,RU,1683429098
123,lupane,-18.9315,27.807,11.89,57,0,2.25,ZW,1683429098
124,quepos,9.4236,-84.1652,27.81,76,100,0.39,CR,1683429098
125,tolanaro,-25.0319,46.9987,20.26,93,100,3.89,MG,1683429098
126,udachny,66.4167,112.4,-9.75,66,100,8.85,RU,1683429098
127,nova sintra,14.8667,-24.7167,20.06,78,0,9.46,CV,1683429099
128,enewetak,11.3474,162.3373,27.55,81,98,8.53,MH,1683429099
129,tralee,52.2704,-9.7026,8.88,96,89,1.92,IE,1683429099
130,seybaplaya,19.65,-90.6667,27.7,81,20,3.43,MX,1683429099
131,edinburgh of the seven seas,-37.0676,-12.3116,15.25,71,94,5.84,SH,1683429100
132,magong,23.5654,119.5863,24.83,91,100,5.98,TW,1683429100
133,al bayda',32.7627,21.7551,11.29,94,69,2.18,LY,1683429100
134,cooper's town,26.8667,-77.5167,23.54,76,93,11.12,BS,1683429100
135,nuuk,64.1835,-51.7216,0.34,93,100,7.72,GL,1683429101
136,codrington,-38.2667,141.9667,11.16,62,95,6.72,AU,1683429101
137,narvik,68.4384,17.4272,2.67,80,100,1.98,NO,1683429101
138,keflavik,64.0049,-22.5624,9.24,87,100,5.14,IS,1683429101
139,avarua,-21.2078,-159.775,27.03,89,100,1.54,CK,1683429102
140,kerouane,9.2667,-9.0167,23.56,54,73,1.98,GN,1683429102
141,malpica,43.3228,-8.8105,15.21,76,100,1.84,ES,1683429102
142,port elizabeth,-33.918,25.5701,17.4,85,36,7.15,ZA,1683429027
143,howrah,22.5892,88.3103,32.0,70,0,2.06,IN,1683429103
